Date ,Tank_Number,Temp_C,DO_mgL,DO_Percent,Conductivity,Salinity,YSI_Temp,mV
9/1/2022,TNK_9,12.296,9.05,103.8,50,32.7,12.4,-4.8
9/1/2022,TNK_10,13.932,8.48,101,50.2,32.9,14.1,-66.8
9/1/2022,TNK_11,15.924,8.04,99.7,50.3,33,16.1,-64.3
9/1/2022,TNK_12,17.913,7.35,94.8,50.2,32.9,18.1,-64.3
9/1/2022,TNK_13,20.593,7.5,101.4,49.5,32.7,20.6,-25.1
9/1/2022,TNK_14,22.743,6.95,97,50.2,33,22.8,-61.4
9/1/2022,TNK_15,24.379,6.33,91.2,50.4,33,24.9,43.9
9/1/2022,TNK_16,24.673,6.83,98.5,50.2,32.9,24.7,-59.4
9/1/2022,TNK_18,13.564,8.52,101.5,50.1,32.8,13.9,-64.3
9/1/2022,TNK_SMP,9.521,9.46,110.6,49.8,32.5,9.6,-61.5
