time,sea_water_temperature,sea_water_temperature_qc_agg,z
UTC,degree_Celsius,,m
2022-08-01T10:49:00Z,20.1361,1,0.0
2022-08-01T10:53:00Z,20.0674,1,0.0
2022-08-01T10:57:00Z,20.1592,1,0.0
2022-08-01T11:01:00Z,19.9548,1,0.0
2022-08-01T11:05:00Z,20.1535,1,0.0
2022-08-01T11:09:00Z,20.2166,1,0.0
2022-08-01T11:13:00Z,20.1588,1,0.0
2022-08-01T11:17:00Z,20.0858,1,0.0
2022-08-01T11:21:00Z,20.1202,1,0.0
2022-08-01T11:25:00Z,20.1065,1,0.0
2022-08-01T11:29:00Z,19.9893,1,0.0
2022-08-01T11:33:00Z,19.9144,1,0.0
2022-08-01T11:37:00Z,19.8084,1,0.0
2022-08-01T11:41:00Z,19.9448,1,0.0
2022-08-01T11:45:00Z,19.9528,1,0.0
2022-08-01T11:49:00Z,19.8945,1,0.0
2022-08-01T11:53:00Z,20.0936,1,0.0
2022-08-01T11:57:00Z,20.2756,1,0.0
2022-08-01T12:01:00Z,20.2784,1,0.0
2022-08-01T12:05:00Z,20.1702,1,0.0
2022-08-01T12:09:00Z,20.1152,1,0.0
2022-08-01T12:13:00Z,20.0135,1,0.0
2022-08-01T12:17:00Z,20.0694,1,0.0
2022-08-01T12:21:00Z,20.1043,1,0.0
2022-08-01T12:25:00Z,20.1188,1,0.0
2022-08-01T12:29:00Z,20.128,1,0.0
2022-08-01T12:33:00Z,20.3891,1,0.0
2022-08-01T12:37:00Z,20.5362,1,0.0
2022-08-01T12:41:00Z,20.4021,1,0.0
2022-08-01T12:45:00Z,20.511,1,0.0
2022-08-01T12:49:00Z,20.7529,1,0.0
2022-08-01T12:53:00Z,20.5721,1,0.0
2022-08-01T12:57:00Z,20.5951,1,0.0
2022-08-01T13:01:00Z,20.781,1,0.0
2022-08-01T13:05:00Z,20.7819,1,0.0
2022-08-01T13:09:00Z,20.7936,1,0.0
2022-08-01T13:13:00Z,20.7216,1,0.0
2022-08-01T13:17:00Z,20.7597,1,0.0
2022-08-01T13:21:00Z,20.7511,1,0.0
2022-08-01T13:25:00Z,20.7553,1,0.0
2022-08-01T13:29:00Z,20.8378,1,0.0
2022-08-01T13:33:00Z,20.8312,1,0.0
2022-08-01T13:37:00Z,20.7938,1,0.0
2022-08-01T13:41:00Z,20.804,1,0.0
2022-08-01T13:45:00Z,20.7989,1,0.0
2022-08-01T13:49:00Z,20.7875,1,0.0
2022-08-01T13:53:00Z,20.8004,1,0.0
2022-08-01T13:57:00Z,20.8468,1,0.0
2022-08-01T14:01:00Z,20.8703,1,0.0
2022-08-01T14:05:00Z,20.8677,1,0.0
2022-08-01T14:09:00Z,20.8714,1,0.0
2022-08-01T14:13:00Z,20.8718,1,0.0
